PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40066659,Inhibition of HDAC4 in granulosa cells improved co-cultured oocyte maturation in vitro independent of LH in porcine.,2025 Mar 11,Zuo Z; Bao Y; Lin L; Li H; Wang T; Xia G; Wang C,,
40066656,Socioeconomic Disparities in Prostate Cancer Treatment: The Impact of Area Deprivation Index on Initial Treatment Type for Localized PCa in a North-American Cohort.,2025 Mar 11,Viganò S; Finati M; Stephens A; Bertini A; Finocchiaro A; Lughezzani G; Buffi N; Salonia A; Briganti A; Montorsi F; Rossanese M; Di Trapani E; Ficarra V; Sood A; Rogers C; Abdollah F,,
40066655,The role of surgical resection of the primary tumor in metastatic upper tract urothelial carcinoma: a systematic review and meta-analysis.,2025 Mar 11,Kardoust Parizi M; Singla N; Rouprêt M; Margulis V; Matsukawa A; Tsuboi I; Schulz R; Karakiewicz PI; Teoh JY; Soria F; Shariat SF,,
40066650,"Chronotype, sleep timing, sleep regularity, and cancer risk: A systematic review.",2025 Mar 11,Donzella SM; Bryer BN; VoPham T; Weaver MD; Watson NF; Zhong C; Patel AV; Phipps AI,,
40066574,Influence of handgrip strength on postoperative complications and survival in primary liver cancer patients.,2025 Mar 4,Li C; Chen Y; Wu H; Zeng Y; Li Y; Dong J; Wang Y; Song T,,
40066501,FLOT1 Is a Novel Serum Biomarker of Ovarian Cancer Targeted by N6-methyladenosine Modification Inhibition.,2025 Mar 11,Guan B; Lu Q; Chen J; Fang J; Liu Z; Li W; Zhang L; Xu G,,
40066500,Who cares about the dying? - Unpacking integration of palliative care and oncology in the Danish context.,2025 Mar 11,Hauge AM; Boisen Andersen D,,
40066468,Impact of prostate cancer screening in European ancestry un-affected men with germline DNA repair pathogenic variants.,2025 Mar,Fasulo V; Chiarelli G; Garofano G; Ripamonti CB; Barile M; Bianchi P; Morenghi E; Benetti A; Aljoulani M; Finocchiaro A; Paciotti M; Avolio PP; Beatrici E; Arena P; Saita A; Hurle R; Maura F; Da Rin G; Asselta R; Capalbo A; Soldà G; Casale P; Buffi NM; Lughezzani G; Lazzeri M,,
40066458,Survival benefits of postoperative radiotherapy in esophageal cancer during the immunotherapy era:a retrospective cohort study based on the SEER database and a single-center registry in China.,2025,Zhang Q; Zhang T; Gu J; Zhang X; Mao Y; Zhu Y; Zhang J; Wang J; Chen S; Cao Y; Wang M; Wang C,,
40066453,Bioinformatics analysis reveals novel tumor antigens and immune subtypes of skin cutaneous melanoma contributing to mRNA vaccine development.,2025,Yang R; He J; Kang D; Chen Y; Huang J; Li J; Wang X; Zhou S,,
40066447,Case Report: Complete response to four cycles of camrelizumab in a PD-L1 negative patient with advanced oral squamous cancer.,2025,He J; Yu G; Ma Y; Shi X; Gao Y; Zheng H; Zhu M; Zhang C,,
40066446,Exercise boost after surgery improves survival in model of metastatic breast cancer.,2025,Stagaard R; Jensen A; Schauer T; Bay ML; Tavanez AR; Wielsøe S; Peletier M; Strøbech JE; Oria VO; Zornhagen KW; Albrechtsen R; Christensen JF; Erler JT,,
40066443,Unveiling SSR4: a promising biomarker in esophageal squamous cell carcinoma.,2025,Zhang J; Jia F; Li C; Song S; Gong A,,
40066442,A comprehensive prognostic and immunological implications of Gremlin 1 in lung adenocarcinoma.,2025,Li H; Zhou Y; Xiao J; Liu F,,
40066440,In-depth analysis of the safety of CAR-T cell therapy for solid tumors.,2025,Dong J; Wu J; Jin Y; Zheng Z; Su T; Shao L; Bei J; Chen S,,
40066439,Tissue-resident memory T cells in urinary tract diseases.,2025,Xu G; Li Y; Lu G; Xie D,,
40066437,Treatment at the end of life in patients with advanced melanoma. A multicenter DeCOG study of 1067 patients from the prospective skin cancer registry ADOReg.,2025,Forschner A; Kähler KC; Gschnell M; Langan EA; Weishaupt C; Meiss F; Thoms KM; Wahl RU; Göppner D; Garzarolli M; Sachse M; Schlaak M; Reitmajer M; Kellner I; Gesierich A; Mohr P; Meier F; von Wasielewski I; Herbst R; Utikal J; Pföhler C; Ulrich J; Terheyden P; Kaatz M; Haferkamp S; Leiter U; Ugurel S; Weichenthal M; Berking C; Gutzmer R; Schadendorf D; Nanz L; Loquai C,,
40066409,Expression of Proliferating Cell Nuclear Antigen (PCNA) in Nasal Polyp: A Systematic Review and Meta-analysis.,2025 Jan,Soltanipur M; Rohani Bastami M; Shahshenas S; Ghorbanniadelavar Z; Barouh A; Shadmand A; Karimi Nemch M; Yarmohammadi H; Siadat SD; Jalali Nadoushan M,,
40066404,"Do The Inflammatory Cells In The Blood And Tissues Have Predictive And Prognostic Value In Benign, Premalignant And Malignant Lesions Of The Larynx?",2025 Jan,Gökgün ÖF; Gencay S; Durgut O; Solmaz F; Mutlu N,,
40066398,Laryngeal Neuroendocrine Carcinoma.,2025 Jan,Das D; Sharma V; Mishra N; Sharma N; Mulajker DS; Kumar H,,
40066397,Angioinvasive Mucormycosis and Internal Carotid Artery Thrombosis: A Case Series.,2025 Jan,Surbhi; Anand A; Kumar B; Sinha V,,
40066360,Selenium-modified hydroxyapatite titanium coating: enhancing osteogenesis and inhibiting cancer in bone invasion by head and neck squamous cell carcinoma.,2025,Wen X; Zhou Q; Lin S; Mai H; Zhang L,,
40066359,Hydrogel and scalp/skin conductivities impact dose from tumor treating fields.,2025,Lok E; Liang O; Haack M; Wong ET,,
40066338,Progress of tanshinone IIA against respiratory diseases: therapeutic targets and potential mechanisms.,2025,Ding Z; Deng Y; Luo H; Liu C; Yang M; Xue H; Chen Z,,
40066335,Gold complex QB1561 suppresses drug-resistant cancer cells by inhibiting TrxR and mitochondrial respiratory function.,2025,Gao HL; Ding W; Shen ZX; Cui Q,,
40066333,Cepharanthine hydrochloride: a novel ferroptosis-inducing agent for prostate cancer treatment.,2025,Guan JS; Jia J; Huang ZX; Zhou YQ; Zheng JJ; Lin QM; Wang YF; Fan JL; Wang Y,,
40066330,Potential mechanism of traditional Chinese medicine intervention in gastric cancer: targeted regulation of autophagy.,2025,Sun S; Yu W; Zhang G; Li X; Song L; Lv Y; Chen Y,,
40066322,Biomimetic Self-Oxygenated Immunoliposome for Cancer-Targeted Photodynamic Immunotherapy.,2025,Tang Y; Tang T; Li Y; Wu J; Liu X; Xiang D; Hu X,,
40066281,In silico oncology: a mechanistic multiscale model of clinical prostate cancer response to external radiation therapy as the core of a digital (virtual) twin. Sensitivity analysis and a clinical adaptation approach.,2025,Stamatakos G; Kolokotroni E; Panagiotidou F; Tsampa S; Kyroudis C; Spohn S; Grosu AL; Baltas D; Zamboglou C; Sachpazidis I,,
40066280,Real World Evidence on Hormone Receptor Positive and Human Epidermal Growth Factor Receptor 2 Negative Metastatic Breast Cancer in Italy: Insights From 2017 to 2021 Data.,2025,Perrone V; Leogrande M; Cappuccilli M; Saragoni S; Cinti Luciani A; Degli Esposti L,,
40066272,The landscape of biofilm models for phage therapy: mimicking biofilms in diabetic foot ulcers using 3D models.,2025,Martinet MG; Thomas M; Bojunga J; Pletz MW; Vehreschild MJGT; Würstle S,,
40066262,Integrated Single-Step Terahertz Metasensing for Simultaneous Detection Based on Exosomal Membrane Proteins Enables Pathological Typing of Gastric Cancer.,2025,Jia Q; Ma Z; Wang Y; Zhang M; Zou G; Lan B; Li S; Lao Z; Shen W; Lou J; Jiao Y; Du X,,
40066251,Exploring the underlying molecular connections: a bioinformatics approach to link melanoma and Parkinson's disease.,2025,Zhang L; Li D; Zheng X; Wu M; Yao Q; Chen H; Ye Z; Yuan B,,
40066250,Effectiveness of a Four-Stage Death Education Model Based on Constructivist Learning Theory for Trainee Nursing Students.,2025,Yang Y; Li Y; Fu J; Guo D; Xue J,,
40066248,The Effect of Nonalcoholic Fatty Liver Disease on Extrahepatic Cancers: Evidence From Population-Based Cohort and Mendelian Randomization.,2025 Mar,Wang W; Sun P; Ren X; Lv T; Li M,,
40066231,The Role of Yes-Associated Protein in Inflammatory Diseases and Cancer.,2025 Mar,Zhong B; Du J; Liu F; Sun S,,
40066226,Depletion of Acetyl-CoA Carboxylase 1 Facilitates Epithelial-Mesenchymal Transition in Prostate Cancer Cells by Activating the MAPK/ERK Pathway.,2025 Mar,Lai J; Liu S; Chen Y; Chen J; Li J; Liang Z; Mei X; Feng Y; Han Z; Jiang F; Yang S; Wu Y; Tan H; Liu J; He H; Zhong W,,
40066210,Prefectural Survey on Immune Checkpoint Inhibitor-Associated Myocarditis at the Start of the Basic Plan to Promote Cancer Control Programs - Phase 4.,2025 Mar 10,Okura Y; Miura S; Tanabe N; Ozaki K; Kashimura T; Kikuchi A; Takenouchi T; Tanaka H; Saijo Y; Inomata T; OCAN 2020 Collaborators,,
40066190,Diagnostic Accuracy of Indocyanine Green-stained Sentinel Lymph Nodes in Prostate Cancer Patients: A Systematic Review and Meta-analysis.,2025 Apr,Chou YJ; Chang CL; Tsai YC,,
40066168,Editorial: Women in science - gastroenterology 2023.,2025,Chetcuti Zammit S; Uroz CP,,
40066127,"Regulation of Apoptosis, Autophagy, and Metastasis by Luteolin in Human Bladder Cancer EJ138 Cells: An Experimental Study.",2024 Jan-Dec,Vatankhah MA; Ziyabakhsh A; Vakili Ojarood M,,
40066116,Apoptotic Impact of Heliox Cold Plasma on a Cervical Cell Line Using Gold Nanoparticle-Doped Graphene Oxide Nanosheets.,2024 Jan-Dec,Vatani M; Hosseinzadeh S; Sari A; Ghomi Marzdashti H; Rahimpour A; Fattahi R,,
40066115,"Melatonin Aids in Treating Mood and Sleep Problems Resulting from Hormonal Therapy in Breast Cancer Patients: A Randomized, Double-Blinded, Placebo-Controlled Trial.",2024 Jan-Dec,Vaziri N; Shakourifar M; Sattari P; Sadeghi A; Sharifi M; Moghadas A; Moghaddas A,,
40066114,Malleatin A and B: New Premyrsine-Type Diterpenes from Euphorbia malleata with Cytotoxic Effects Against A2780 Wild and A2780 R-CIS Ovarian Cancer Cell Lines in Mono or Combination Treatment with Cisplatin.,2024 Jan-Dec,Zolfaghari B; Akbari F; Esmaeili S; Aghaei M; Mosaffa F; Ghorbanhosseini SS; Ghanadian M,,
40066113,"Evaluation of Oral Nano-Silymarin Formulation Efficacy in the Prevention of Hand-Foot Syndrome and Neuropathy Induced by XELOX or m-FOLFOX6 Regimens in Metastatic Colorectal Cancer: A Triple-Blinded, Randomized Clinical Trial.",2024 Jan-Dec,Karbasforooshan H; Rahimi H; Arasteh O; Allahyari A; Varmaghani M; Jannati M; Ghavami V; Jaafari M; Elyasi S,,
40066100,Cardiovascular toxicity induced by immunotherapy in non-small cell lung cancer: a systematic review and meta-analysis of observational studies.,2025,Sabaté-Ortega J; Teixidor-Vilà E; Sais È; Hernandez-Martínez A; Montañés-Ferrer C; Coma N; Polonio-Alcalá E; Pineda V; Bosch-Barrera J,,
40066098,An overview of the current evidences on the role of iron in colorectal cancer: a review.,2025,Yousefi MH; Masoudi A; Saberi Rounkian M; Mansouri M; Hojat B; Kaveh Samani M; Veisi R; Honarvar Bakeshloo P; Nosratipour R; Afkhami H; Saeb S,,
40066096,The post-orchiectomy systemic inflammatory index is associated with tumor characteristics in clinical stage I germ cell tumors.,2025,Lesko P; Mego M,,
40066095,Efficacy and safety of nanoparticle albumin-bound paclitaxel plus cisplatin or nedaplatin plus tegafur/gimeracil/oteracil as induction chemotherapy regimen for hypopharyngeal cancer.,2025,Jiang C; Liu Y; Mo Y; Xu L; Zhu L; Li Z; Xu S; Qin X; Wu G; Kang M; He X; Xue F,,
40066092,Engineered exosomes restore miR-508-5p expression in uterine corpus endometrial carcinoma and reduce tumor progression and metastasis by targeting DLL3.,2025,Li YY; Liu H; Feng JL; Tian WY; Du J; Zhang LP,,
40066091,Advances in targeting protein S-palmitoylation in tumor immunity and therapy.,2025,Han M; Lv Y; Chen Y; Li Z; Tian J; Zhou H; Wang Y; Su W; Zhong J,,
40066090,Retrospective BReast Intravoxel Incoherent Motion Multisite (BRIMM) multisoftware study.,2025,Basukala D; Mikheev A; Li X; Goldberg JD; Gilani N; Moy L; Pinker K; Partridge SC; Biswas D; Kataoka M; Honda M; Iima M; Thakur SB; Sigmund EE,,
40066089,Association between human leukocyte antigen E expression and outcomes in solid tumors: a systematic review and meta-analysis.,2025,Benitez Fuentes JD; Bartolome Arcilla J; Lazaro Sanchez AD; de Luna Aguilar A; Mohamed Mohamed K; Guevara-Hoyer K; Ballestin Martinez P; Borregon Rivilla M; Ferrandez Arias A; Sánchez-Ramon S; Ocaña A,,
40066057,Integrating computational insights in gold nanoparticle-mediated drug delivery: enhancing efficacy and precision.,2025,Alalmaie A; Alshahrani HT; Alqahtani M; Alshahrani Z; Alahmari S; Asiri A; Alqadi B; Alshahrani A; Alshahrani S; Akhter MH,,
40065995,Editorial: Management of neuroendocrine tumors of the head and neck.,2025,Guha A; Pacak K; Mariani-Costantini R; Plzak J; Vicha A,,
40065957,Association Between Vitamin D Deficiency and Papillary Thyroid Cancer: Tertiary Center Experience.,2025 Feb,Alfaleh MA; Alanzi OA; Alzamil MF; Alabdulwahid FA; AlMuhaimid TM,,
40065951,Impact of Induction Chemotherapy Before Radical Chemoradiation in Oral Cavity Squamous Cell Carcinoma: A Tertiary Centre Experience.,2025 Feb,Lohani S; Prasai G; Tandon S; Ahlawat P; Antony V; Bellige AR; Patodi V; Mahajan S; Umesh P; Nayak A; Gairola M,,
40065891,An Emergency Department Virtual Observation Unit Fall Prevention Program: A Pilot Acceptability Study.,2025 Feb,Numata K; Jones AE; Meeker MA; Kennedy M; Hayden E; Ouchi K; Shankar K; Liu SW,,
40065887,Vitamin E (α-Tocopherol): Emerging Clinical Role and Adverse Risks of Supplementation in Adults.,2025 Feb,Kaye AD; Thomassen AS; Mashaw SA; MacDonald EM; Waguespack A; Hickey L; Singh A; Gungor D; Kallurkar A; Kaye AM; Shekoohi S; Varrassi G,,
40065880,Anti-N-Methyl-D-Aspartate Receptor Encephalitis Associated With Small Cell Lung Cancer: A Case Report.,2025 Feb,Kerego Y; Bramwell C; Dada B,,
40065843,Health Outcomes in EU Cross-Border Regions: A Scoping Review.,2025,Stroisch S; Angelini V; Schnettler S; Vogt T,,
40065839,Improving Health-Related Quality of Life in Hepatocellular Carcinoma Patients: Key Methodologies for Assessing Patient Reported Outcomes and Intervention Targets.,2025,Moon AM; Kappelman MD; Barritt Iv AS; Evon DM; Sanoff HK; Wagner LI,,
40065838,The tumor coagulome as a potential biological determinant of postsurgical recurrence of oral squamous cell carcinoma.,2025,Saidak Z; Galmiche A,,
40065807,Comparison of naturalization mouse model setups uncover distinct effects on intestinal mucosa depending on microbial experience.,2025,Arnesen H; Birkeland S; Stendahl H; Neuhaus K; Masopust D; Boysen P; Carlsen H,,
40065768,Development of a novel anti-erythropoietin-producing hepatocellular receptor B6 monoclonal antibody Eb(6)Mab-3 for flow cytometry.,2025 Mar,Tanaka T; Kaneko Y; Yamamoto H; Li G; Fujisawa S; Satofuka H; Shinoda K; Nakamura T; Kaneko MK; Suzuki H; Kato Y,,
40065746,Compound screening in human airway basal cells identifies Wnt pathway activators as potential pro-regenerative therapies.,2025 Mar 11,Ishii Y; Orr JC; El Mdawar MB; de Pilger DRB; Pearce DR; Lazarus KA; Graham RE; Nikolić MZ; Ketteler R; Carragher NO; Janes SM; Hynds RE,,
40065745,Functional SELEX and Biomedical Applications of Aptamers: Beyond Molecular Recognition.,2025 Mar 11,He M; Wang Z; Wu X; Cui C; Du Z; Zhao Z; Sun Y; Zhang X; He L; Tan W,,
40065730,LncRNA CASC2 mediates SOCS6 mRNA stabilization via U2AF2 recruitment to modulate macrophage polarisation in diabetic retinopathy.,2025 Mar 11,Xiao F; Wu F; Zhong P; Hu T; Luo R,,
40065724,Bacteroides fragilis Toxin Suppresses METTL3-Mediated m6A Modification in Macrophage to Promote Inflammatory Bowel Disease.,2025 Mar 5,Yan Y; Tian L; Zhao Y; Xuan B; Xu X; Ding J; Li W; Zhou YL; Zhang Y; Ma Y; Ning L; Wang Z; Jiang Y; Zhu X; Huang X; Hu M; Shen N; Gao X; Fang JY; Cui Z; Cao Z; Chen H; Wang X; Hong J,,
40065703,PINCH-1 promotes tumor growth and metastasis by enhancing DRP1-mediated mitochondrial fission in head and neck squamous cell carcinoma.,2025 Dec,Tian R; Song H; Li J; Yuan T; Liu J; Wang Y; Li Y; Song X,,
40065678,Novel therapeutics in refractory germ cell tumors.,2025 Feb 18,Richardson NH; Adra N,,
40065665,Role of PSMA PET/CT in imaging and management of prostate cancer.,2025 Feb 14,Hoyek NE; Shi X; Jenkins J; Chen W,,
40065620,[Research progress on the role and mechanism of endothelin-1 in pain].,2025 Feb 25,Hu CK; You HJ; Lei J,,
40065602,Interleaved (23)Na/(1)H MRI of the human heart at 7 T using a combined (23)Na/(1)H coil setup and (1)H parallel transmission.,2025 Mar 10,Ruck L; Egger N; Wilferth T; Schirmer J; Gast LV; Nagelstraßer S; Wildenberg S; Bitz A; Lanz T; Platt T; Konstandin S; Kopp C; Uder M; Nagel AM,,
40065600,Application of Artificial Intelligence in Cardio-Oncology Imaging for Cancer Therapy-Related Cardiovascular Toxicity: A Systematic Review.,2025 Mar 3,Mushcab H; Al Ramis M; AlRujaib A; Eskandarani R; Sunbul T; AlOtaibi A; Obaidan M; Al Harbi R; Aljabri D,,
40065567,Recent advances in targeted degradation in the RAS pathway.,2025 Mar 10,Ge Z; Fan Z; He W; Zhou G; Zhou Y; Zheng M; Zhang S,,
40065519,"Bidirectional Mendelian randomization and mediation analysis of million-scale data reveal causal relationships between thyroid-related phenotypes, smoking, and lung cancer.",2025 Feb 25,Wang X; Wang X; Zhao M; Lin L; Li Y; Xie N; Wang Y; Wang A; Xu X; Ju C; Chen Q; Chen J; Hou R; Zhang Z; Christiani DC; Chen F; Wei Y; Zhang R,,
40065511,A british society of gastrointestinal and abdominal radiology (BSGAR) multi-Centre audit of imaging investigations in inflammatory bowel disease.,2025 Mar 10,Taylor K; Robinson E; Balasubramaniam R; Bhatnagar G; Taylor SA; Tolan D; Wale A; Zealley I; Foley K,,
40065506,DNA methylation signatures of cervical pre-invasive and invasive disease: An epigenome-wide association study.,2025 Mar 10,Bowden SJ; Bodinier B; Paraskevaidi M; Kalliala I; Nasioutziki M; Ellis LB; Zuehlke RC; Flanagan JM; Kyrgiou M; Chadeau-Hyam M,,
40065500,Microbiological Profiles and Resistance Patterns in Pediatrics With Cancer: An 8-Year Study at a Comprehensive Cancer Center in Jordan.,2025 Mar,Hassouneh D; Zatarah R; AbuSara A; Nazer L; Abu Ghosh A; Aryan HA; Sultan I,,
40065495,Eosinophil-induced adverse events induced by treatment with programmed cell death 1/ligand 1 inhibitors: A comprehensive disproportionality analysis of the FDA adverse event reporting system.,2025 Mar 10,Lyu L; Bian S; Guan K; Zhao B,,
40065492,Integrative metabolomics and microbiomics analysis reveals distinctive microbiota-metabolites interactions in gastric carcinogenesis.,2025 Mar 10,Jiang XW; Zhang L; Liu ZC; Zhou T; Li WQ; Liu WD; Zhang LF; You WC; Zhang Y; Pan KF,,
40065478,Correction: STEAP4 inhibits cisplatin-induced chemotherapy resistance through suppressing PI3K/AKT in hepatocellular carcinoma.,2025 Mar 10,Xie B; Zhong B; Zhao Z; Hu J; Yang J; Xie Y; Zhang J; Long J; Yang X; Li H,,
40065459,Oncological and Survival Endpoints in Cancer Cachexia Clinical Trials: Systematic Review 6 of the Cachexia Endpoints Series.,2025 Apr,Dajani O; Philips I; Størkson EK; Balstad TR; Brown LR; Bye A; Dolan R; Greil C; Hjermstad M; Jakobsen G; Kaasa S; McDonald J; Ottestad I; Sayers J; Simpson M; Sousa MS; Vagnildhaug OM; Yule MS; Laird BJA; Skipworth RJE; Solheim TS; Stares M; Arends J; Cancer Cachexia Endpoints Working Group,,
40065454,Evaluating Rituximab Failure Rates in Neuromyelitis Optica Spectrum Disorder: A Nationwide Real-World Study From South Korea.,2025 Mar,Kim SH; Min JH; Kim SM; Lee EJ; Lim YM; Shin HY; Kwon YN; Sohn E; Kim S; Park MS; Nam TS; Yoon BA; Kim JK; Shin KJ; Kim YH; Seok JM; Bong JB; Kim S; Seok HY; Oh SY; Kwon O; Kim S; Lee S; Kim NH; Cho EB; Kang SY; Oh SI; Bae JS; Ahn SW; Kim KH; Kang YR; Ju W; Choo SH; Chung YH; Hyun JW; Kim HJ,,
40065444,A CT-based interpretable deep learning signature for predicting PD-L1 expression in bladder cancer: a two-center study.,2025 Mar 10,Han X; Guan J; Guo L; Jiao Q; Wang K; Hou F; Liu S; Yang S; Huang C; Cong W; Wang H,,
40065440,Development of a deep learning-based model for guiding a dissection during robotic breast surgery.,2025 Mar 10,Lee J; Ham S; Kim N; Park HS,,
40065433,The Performance of the Australian-UK-Swiss Clinical Decision Rule for Febrile Neutropenia in Children and Young Adults With Bone and Soft Tissue Sarcomas.,2025 Mar 10,Mahapatra AK; Sahana NS; Windsor RE; Jackson TJ,,
40065426,DCE-MRI quantitative analysis and MRI-based radiomics for predicting the early efficacy of microwave ablation in lung cancers.,2025 Mar 10,Yang C; Zhu F; Yang J; Wang M; Zhang S; Zhao Z,,
40065418,Remarkable 99mTc-FAPI-46 Uptake in a Patient With Anaplastic Thyroid Carcinoma: A Promising Step in Theranostic Field.,2025 Mar 11,Ghahraman M; Sahafi P; Samadi MH; Aryana K; Aghaee A,,
40065417,Shaping cancer center priorities through Community Advisory Board collaboration.,2025 Mar 10,Evett S; Schmidt ME; Nash SH; Wells Sittig K; University of Iowa Health Care Holden Comprehensive Cancer Center Community Advisory Board; Askelson NM,,
40065397,PSMA-based Theranostics in Advanced Non-small Cell Lung Cancer​​​​​​: A Hit or a Miss?,2025 Mar 11,Aggarwal P; Anwariya A; Kaur K; Satapathy S; Sood A; Singh N; Bal A; Singh H; Mittal BR,,
40065368,Hypoxia-induced MIR31HG expression promotes partial EMT and basal-like phenotype in pancreatic ductal adenocarcinoma based on data mining and experimental analyses.,2025 Mar 10,Ko CC; Yang PM,,
40065365,Prognostic implications and characterization of tumor-associated tertiary lymphoid structures genes in pancreatic cancer.,2025 Mar 10,Zhang E; Ma Y; Liu Z; Zhang J; Liu W; Chen Y; Liu G; Liu X; Zhang F; Zhu Y; Yang Y; Tian X,,
40065363,Pregnancy-related issues in rare and low-prevalence diseases: results of ERN transversal working group on pregnancy and family planning survey.,2025 Mar 10,Zucchi D; Marinello D; Tani C; Fulvio G; Aguilera S; Benachi A; Biller R; Blanco I; Borgards P; Boiteux MC; Brandi ML; Costafreda E; Fonseca JE; Fredi M; Iotova V; Louisse S; Nalli C; Onali M; Power B; Rousset-Jablonski C; Sturz D; Tincani A; Vieira A; Capela S; Dan D; De Backer J; de Die-Smulders C; Dufke A; Artzner EL; Limongelli G; Lorenz B; Papenthin W; Pascau MJ; Raidt J; Ray-Coquard I; Rimmer R; Röhl C; Schneider H; Yap T; Talarico R; Mosca M,,
40065354,Automated deep learning-based assessment of tumour-infiltrating lymphocyte density determines prognosis in colorectal cancer.,2025 Mar 10,Millward J; He Z; Nibali A; Mouradov D; Mielke LA; Tran K; Chou A; Hawkins NJ; Ward RL; Gill AJ; Sieber OM; Williams DS,,
40065352,"A rapid ecologic analysis, confirmed by a case-control study, identifies class I HLA alleles correlated to the risk of COVID-19.",2025 Mar 10,Correale P; Baglio G; Parrella R; Saladino RE; Cuomo N; Scarano F; Francone M; Cuzzola M; Foti G; Mutti L; Pentimalli F; Giordano A,,
40065348,Effects of economic sanctions on cancer care for patients in Iran: a qualitative study.,2025 Mar 11,Nazari M; Haghjou L; Rashidian H; Zendehdel K; Bahmanziari N; Haghjoo A; Shamsi A; Mounesan L,,
40065335,Immunosenescence promotes cancer development: from mechanisms to treatment strategies.,2025 Mar 10,Wang L; Tang D,,
40065328,Extraction of a stromal metastatic gene signature in breast cancer via spatial profiling.,2025 Mar 8,Bertolazzi G; Cancila V; Vacca D; Belmonte B; Lecis D; Moghaddam PS; Di Napoli A; Colombo MP; Pruneri G; Del Sal G; Scita G; Fassan M; Vecchione A; Bicciato S; Tripodo C,,
